,Código do componente,Nome do componente,Link do componente,Docente,Horário,Local da aula,Carga horária,Tamanho da turma
0,CDT1101,TECNOLOGIA SOCIAL E INOVAÇÃO,,TANIA CRISTINA DA SILVA CRUZ,Sexta-feira 12:55 às 16:55  , CDT - Sala Interação,30h,40
1,CDT1101,TECNOLOGIA SOCIAL E INOVAÇÃO,,JONATHAS FELIPE AIRES FERREIRA,Sexta-feira 12:55 às 16:55  , CDT - Sala Interação,30h,40
2,CDS0001,PLANEJAMENTO E AVALIAÇÃO SOCIOAMBIENTAL,,LAURA ANGELICA FERREIRA DARNET,Terça-feira 20:50 às 22:30Quinta-feira 20:50 às 22:30  , BSA-SUL,60h,30
3,CDS0007,INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL,,MAURO GUILHERME MAIDANA CAPPELLARO,Terça-feira 20:50 às 22:30Quinta-feira 20:50 às 22:30  , BSA-SUL,60h,40
4,CDS0007,INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL,,CRISTIANE GOMES BARRETO,Terça-feira 19:00 às 20:40Sexta-feira 19:00 às 20:40  ," FT, Bloco D, sala DT 11/15",60h,10
5,CDS0007,INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL,,TALITA FLORIANO DOS SANTOS,Terça-feira 19:00 às 20:40Sexta-feira 19:00 às 20:40  ," FT, Bloco D, sala DT 11/15",60h,40
6,CDS0007,INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL,,STEPHANIE CAROLINE NASUTI,Quinta-feira 14:00 às 17:50  , CDS,60h,40
7,CDS0008,"MEIO AMBIENTE, CULTURA E SOCIEDADE",,DORIS ALEIDA VILLAMIZAR SAYAGO,Terça-feira 20:50 às 22:30Quinta-feira 20:50 às 22:30  , BSA-SUL,60h,40
8,CDS0010,TRABALHO INTERDISCIPLINAR INTEGRADO 1,,TALITA FLORIANO DOS SANTOS,Sexta-feira 20:50 às 22:30  , BSA-SUL,30h,30
9,CDS0011,SISTEMAS SOCIOAMBIENTAIS E COMPLEXIDADE,,FREDERIC ADELIN GEORGES MERTENS,Terça-feira 20:50 às 22:30Quinta-feira 20:50 às 22:30  , BSA-SUL,60h,30
10,CDS0012,POLÍTICAS PÚBLICAS E MEIO AMBIENTE,,ANA KARINE PEREIRA,Sexta-feira 08:00 às 11:50  , BSA-SUL,60h,30
11,CDS0014,TEORIAS DO DESENVOLVIMENTO,,MAURICIO DE CARVALHO AMAZONAS,Terça-feira 19:00 às 20:40Quinta-feira 19:00 às 20:40  , BSA-SUL,60h,30
12,CDS0015,INDICADORES DE DESENVOLVIMENTO SUSTENTÁVEL,,SAULO RODRIGUES PEREIRA FILHO,Terça-feira 16:55 às 18:55Quinta-feira 16:55 às 18:55  , CDS,60h,30
13,CDS0016,EDUCAÇÃO E MEIO AMBIENTE,,IZABEL CRISTINA BRUNO BACELLAR ZANETI,Segunda-feira 20:50 às 22:30Quarta-feira 20:50 às 22:30  , BSA-SUL,60h,30
14,CET0001,PLANEJAMENTO E GESTÃO EM TURISMO 1,,MARIANA TOMAZIN,Quarta-feira 14:00 às 17:50  , CET - Módulo B sala 2,60h,40
15,CET0002,LEGISLAÇÃO TURÍSTICA,,AYLANA LAISSA MEDEIROS BORGES,Segunda-feira 10:00 às 11:50  , CET - Módulo C,30h,40
16,CET0005,PLANEJAMENTO E GESTÃO EM TURISMO 2,,MARIANA TOMAZIN,Sexta-feira 08:00 às 11:50  , CET - Módulo D (Sala de aula),60h,40
17,CET0006,FUNDAMENTOS DE ESTATÍSTICA APLICADO AO TURISMO,,FAGNO TAVARES DE OLIVEIRA,Terça-feira 10:00 às 11:50  , CET - Módulo B sala 2,30h,40
18,CET0007,PROJETO INTEGRADOR EM TURISMO 3,,MARUTSCHKA MARTINI MOESCH,Quarta-feira 10:00 às 11:50  , CET - Módulo E,30h,40
19,CET0012,ENOTURISMO,,ALESSANDRA SANTOS DOS SANTOS,Quinta-feira 14:00 às 17:50  , CET - Módulo D (sala de aula),30h,35
20,CET0012,ENOTURISMO,,CAROLINA MENEZES PALHARES,Quinta-feira 14:00 às 17:50  , CET - Módulo D (sala de aula),30h,35
21,CET0013,PESQUISA EM TURISMO,,MARUTSCHKA MARTINI MOESCH,Terça-feira 08:00 às 11:50  , CET - Módulo E,60h,40
22,CET0014,ESTRUTURAÇÃO E PROMOÇÃO DE DESTINOS,,FAGNO TAVARES DE OLIVEIRA,Quarta-feira 14:00 às 17:50  , CET - Módulo D (sala de aula),60h,40
